frame; timings; with call
1568;669;679;
1569;273;283;
1570;689;699;
1571;601;611;
1572;637;647;
1573;655;665;
1574;237;247;
1575;669;679;
1576;566;576;
1577;546;556;
1578;237;247;
1579;654;664;
1580;614;624;
1581;273;283;
1582;560;570;
1583;670;680;
1584;637;647;
1585;723;733;
1586;669;679;
1587;663;673;
1588;743;753;
1589;635;645;
1590;654;664;
1591;688;698;
1592;703;713;
1593;237;247;
1594;615;625;
1595;601;611;
1596;237;247;
1597;669;679;
1598;546;556;
1599;629;639;
1600;546;556;
1601;601;611;
1602;237;247;
1603;682;692;
1604;669;679;
1605;211;221;
1606;635;645;
1607;237;247;
1608;601;611;
1609;727;737;
1610;635;645;
1611;237;247;
1612;661;671;
1613;306;316;
1614;273;283;
1615;757;767;
1616;669;679;
1617;247;257;
1618;670;680;
1619;237;247;
1620;273;283;
1621;738;748;
1622;601;611;
1623;631;641;
1624;670;680;
1625;237;247;
1626;273;283;
1627;719;729;
1628;738;748;
1629;247;257;
1630;670;680;
1631;237;247;
1632;273;283;
1633;791;801;
1634;669;679;
1635;629;639;
1636;743;753;
1637;649;659;
1638;709;719;
1639;724;734;
1640;738;748;
1641;247;257;
1642;670;680;
1643;237;247;
1644;273;283;
1645;738;748;
1646;546;556;
1647;663;673;
1648;635;645;
1649;601;611;
1650;601;611;
1651;614;624;
1652;614;624;
1653;237;247;
1654;671;681;
1655;306;316;
1656;273;283;
1657;725;735;
1658;704;714;
1659;595;605;
1660;639;649;
1661;237;247;
1662;637;647;
1663;757;767;
1664;739;749;
1665;306;316;
1666;615;625;
1667;601;611;
1668;237;247;
1669;683;693;
1670;546;556;
1671;609;619;
1672;560;570;
1673;601;611;
1674;237;247;
1675;682;692;
1676;669;679;
1677;211;221;
1678;671;681;
1679;306;316;
1680;637;647;
1681;707;717;
1682;683;693;
1683;698;708;
1684;743;753;
1685;649;659;
1686;745;755;
1687;702;712;
1688;738;748;
1689;247;257;
1690;670;680;
1691;237;247;
1692;273;283;
1693;738;748;
1694;601;611;
1695;699;709;
1696;670;680;
1697;273;283;
1698;670;680;
1699;737;747;
1700;703;713;
1701;237;247;
1702;615;625;
1703;601;611;
1704;237;247;
1705;763;773;
1706;704;714;
1707;237;247;
1708;661;671;
1709;306;316;
1710;273;283;
1711;757;767;
1712;669;679;
1713;247;257;
1714;670;680;
1715;237;247;
1716;273;283;
1717;738;748;
1718;637;647;
1719;643;653;
1720;670;680;
1721;273;283;
1722;670;680;
1723;702;712;
1724;703;713;
1725;237;247;
1726;615;625;
1727;601;611;
1728;237;247;
1729;693;703;
1730;705;715;
1731;698;708;
1732;743;753;
1733;649;659;
1734;709;719;
1735;724;734;
1736;738;748;
1737;247;257;
1738;670;680;
1739;237;247;
1740;273;283;
1741;725;735;
1742;738;748;
1743;663;673;
1744;743;753;
1745;649;659;
1746;654;664;
1747;688;698;
1748;614;624;
1749;663;673;
1750;757;767;
1751;580;590;
1752;723;733;
1753;727;737;
1754;580;590;
1755;595;605;
1756;659;669;
1757;601;611;
1758;601;611;
1759;722;732;
1760;614;624;
1761;247;257;
1762;615;625;
1763;670;680;
1764;273;283;
1765;683;693;
1766;615;625;
1767;609;619;
1768;615;625;
1769;670;680;
1770;273;283;
1771;719;729;
1772;738;748;
1773;237;247;
1774;615;625;
1775;237;247;
1776;601;611;
1777;743;753;
1778;614;624;
1779;663;673;
1780;743;753;
1781;580;590;
1782;709;719;
1783;743;753;
1784;614;624;
1785;211;221;
1786;546;556;
1787;601;611;
1788;237;247;
1789;614;624;
1790;601;611;
1791;629;639;
1792;635;645;
1793;237;247;
1794;601;611;
1795;682;692;
1796;653;663;
1797;237;247;
1798;635;645;
1799;601;611;
1800;601;611;
1801;720;730;
1802;649;659;
1803;595;605;
1804;661;671;
1805;306;316;
1806;637;647;
1807;757;767;
1808;703;713;
1809;237;247;
1810;615;625;
1811;601;611;
1812;237;247;
1813;723;733;
1814;670;680;
1815;631;641;
1816;615;625;
1817;670;680;
1818;273;283;
1819;719;729;
1820;738;748;
1821;247;257;
1822;615;625;
1823;670;680;
1824;273;283;
1825;702;712;
1826;738;748;
1827;665;675;
1828;757;767;
1829;704;714;
1830;723;733;
1831;743;753;
1832;669;679;
1833;247;257;
1834;615;625;
1835;670;680;
1836;273;283;
1837;683;693;
1838;615;625;
1839;663;673;
1840;635;645;
1841;601;611;
1842;601;611;
1843;669;679;
1844;669;679;
1845;247;257;
1846;615;625;
1847;670;680;
1848;273;283;
1849;757;767;
1850;649;659;
1851;237;247;
1852;661;671;
1853;670;680;
1854;273;283;
1855;757;767;
1856;669;679;
1857;247;257;
1858;615;625;
1859;670;680;
1860;273;283;
1861;683;693;
1862;615;625;
1863;698;708;
1864;615;625;
1865;237;247;
1866;601;611;
1867;737;747;
